nohup: ignoring input
第0个epoch:
第0个epoch:
tensor(1.2028, device='cuda:0', grad_fn=<DivBackward0>)
tensor(1.3433, device='cuda:1', grad_fn=<DivBackward0>)
tensor(1.3848, device='cuda:0', grad_fn=<DivBackward0>)
tensor(1.3084, device='cuda:1', grad_fn=<DivBackward0>)
tensor(1.4215, device='cuda:0', grad_fn=<DivBackward0>)
tensor(1.2674, device='cuda:1', grad_fn=<DivBackward0>)
tensor(1.1523, device='cuda:0', grad_fn=<DivBackward0>)
tensor(1.4892, device='cuda:1', grad_fn=<DivBackward0>)
tensor(1.3220, device='cuda:0', grad_fn=<DivBackward0>)
tensor(1.2862, device='cuda:1', grad_fn=<DivBackward0>)
tensor(1.2753, device='cuda:0', grad_fn=<DivBackward0>)
tensor(1.2925, device='cuda:1', grad_fn=<DivBackward0>)
tensor(1.2128, device='cuda:0', grad_fn=<DivBackward0>)
tensor(1.3268, device='cuda:1', grad_fn=<DivBackward0>)
tensor(1.3611, device='cuda:0', grad_fn=<DivBackward0>)
tensor(1.2650, device='cuda:1', grad_fn=<DivBackward0>)
tensor(1.1592, device='cuda:0', grad_fn=<DivBackward0>)
tensor(1.2941, device='cuda:1', grad_fn=<DivBackward0>)
tensor(1.2740, device='cuda:0', grad_fn=<DivBackward0>)
tensor(1.4019, device='cuda:1', grad_fn=<DivBackward0>)
tensor(1.2198, device='cuda:0', grad_fn=<DivBackward0>)
tensor(1.2360, device='cuda:1', grad_fn=<DivBackward0>)
tensor(1.2349, device='cuda:0', grad_fn=<DivBackward0>)
tensor(1.3648, device='cuda:1', grad_fn=<DivBackward0>)
tensor(1.3424, device='cuda:0', grad_fn=<DivBackward0>)
tensor(1.2989, device='cuda:1', grad_fn=<DivBackward0>)
tensor(1.2357, device='cuda:0', grad_fn=<DivBackward0>)
tensor(1.2167, device='cuda:1', grad_fn=<DivBackward0>)
tensor(1.2067, device='cuda:0', grad_fn=<DivBackward0>)
tensor(1.2403, device='cuda:1', grad_fn=<DivBackward0>)
tensor(1.2806, device='cuda:0', grad_fn=<DivBackward0>)
tensor(1.3191, device='cuda:1', grad_fn=<DivBackward0>)
tensor(1.2543, device='cuda:0', grad_fn=<DivBackward0>)
tensor(1.2502, device='cuda:1', grad_fn=<DivBackward0>)
tensor(1.2771, device='cuda:0', grad_fn=<DivBackward0>)
tensor(1.3677, device='cuda:1', grad_fn=<DivBackward0>)
tensor(1.2770, device='cuda:0', grad_fn=<DivBackward0>)
tensor(1.3030, device='cuda:1', grad_fn=<DivBackward0>)
tensor(1.2776, device='cuda:0', grad_fn=<DivBackward0>)
tensor(1.3442, device='cuda:1', grad_fn=<DivBackward0>)
tensor(1.2480, device='cuda:0', grad_fn=<DivBackward0>)
tensor(1.1309, device='cuda:1', grad_fn=<DivBackward0>)
tensor(1.2327, device='cuda:0', grad_fn=<DivBackward0>)
tensor(1.2814, device='cuda:1', grad_fn=<DivBackward0>)
tensor(1.1510, device='cuda:0', grad_fn=<DivBackward0>)
tensor(1.2612, device='cuda:1', grad_fn=<DivBackward0>)
tensor(1.2957, device='cuda:0', grad_fn=<DivBackward0>)
tensor(1.2765, device='cuda:1', grad_fn=<DivBackward0>)
tensor(1.1794, device='cuda:0', grad_fn=<DivBackward0>)
tensor(1.3067, device='cuda:1', grad_fn=<DivBackward0>)
tensor(1.2732, device='cuda:0', grad_fn=<DivBackward0>)
tensor(1.2348, device='cuda:1', grad_fn=<DivBackward0>)
tensor(1.4060, device='cuda:0', grad_fn=<DivBackward0>)
tensor(1.3586, device='cuda:1', grad_fn=<DivBackward0>)
tensor(1.2598, device='cuda:0', grad_fn=<DivBackward0>)
tensor(1.2182, device='cuda:1', grad_fn=<DivBackward0>)
tensor(1.3168, device='cuda:0', grad_fn=<DivBackward0>)
tensor(1.2640, device='cuda:1', grad_fn=<DivBackward0>)
tensor(1.2117, device='cuda:0', grad_fn=<DivBackward0>)
tensor(1.3363, device='cuda:1', grad_fn=<DivBackward0>)
tensor(1.2792, device='cuda:0', grad_fn=<DivBackward0>)
tensor(1.1080, device='cuda:1', grad_fn=<DivBackward0>)
tensor(1.2383, device='cuda:0', grad_fn=<DivBackward0>)
tensor(1.2899, device='cuda:1', grad_fn=<DivBackward0>)
tensor(1.3432, device='cuda:0', grad_fn=<DivBackward0>)
tensor(1.2857, device='cuda:1', grad_fn=<DivBackward0>)
tensor(1.3631, device='cuda:0', grad_fn=<DivBackward0>)
tensor(1.3276, device='cuda:1', grad_fn=<DivBackward0>)
tensor(1.2733, device='cuda:0', grad_fn=<DivBackward0>)
tensor(1.4030, device='cuda:1', grad_fn=<DivBackward0>)
tensor(1.2098, device='cuda:0', grad_fn=<DivBackward0>)
tensor(1.1977, device='cuda:1', grad_fn=<DivBackward0>)
tensor(1.1840, device='cuda:0', grad_fn=<DivBackward0>)
tensor(1.2364, device='cuda:1', grad_fn=<DivBackward0>)
tensor(1.2808, device='cuda:0', grad_fn=<DivBackward0>)
tensor(1.2547, device='cuda:1', grad_fn=<DivBackward0>)
tensor(1.2247, device='cuda:0', grad_fn=<DivBackward0>)
tensor(1.2853, device='cuda:1', grad_fn=<DivBackward0>)
tensor(1.3741, device='cuda:0', grad_fn=<DivBackward0>)
tensor(1.5447, device='cuda:1', grad_fn=<DivBackward0>)
tensor(1.1076, device='cuda:0', grad_fn=<DivBackward0>)
tensor(1.1992, device='cuda:1', grad_fn=<DivBackward0>)
tensor(1.3533, device='cuda:0', grad_fn=<DivBackward0>)
tensor(1.2994, device='cuda:1', grad_fn=<DivBackward0>)
